stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
27550,7550,Prkosava - N. kuće,44.3952440810,20.4300225564,2,0,
27551,7551,Prkosava - N. kuće,44.3952933000,20.4300617000,2,0,
27552,7552,Prkosava - Okretnica,44.3926485926,20.4363862301,2,0,
27554,7554,Prkosava - Kop,44.3919467000,20.4191617000,2,0,
27555,7555,Prkosava - Kop,44.3918417000,20.4190900000,2,0,
27556,7556,Čibutkovica I,44.3218024892,20.2257256215,2,0,
27557,7557,Čibutkovica I,44.3219767002,20.2258205139,2,0,
27558,7558,Rudovci - Simića kuće,44.3583498064,20.4045308804,2,0,
27559,7559,Rudovci - Simića kuće,44.3584869177,20.4045879245,2,0,
27560,7560,Rudovci II,44.3630504121,20.4070363466,2,0,
27561,7561,Rudovci II,44.3632361764,20.4072749945,2,0,
27562,7562,Rudovci I,44.3693647934,20.4092755920,2,0,
27563,7563,Rudovci I,44.3695877330,20.4089519736,2,0,
27567,7567,Rudovci - Selo,44.3738636164,20.4075445975,2,0,
27568,7568,Rudovci - Selo,44.3744374618,20.4075650761,2,0,
27570,7570,Sokolovački put,44.4724417000,20.3099738982,2,0,
27571,7571,Sokolovački put,44.4727812599,20.3094815606,2,0,
27572,7572,Sokolovo - Jag. kuća,44.4848450000,20.3311017000,2,0,
27573,7573,Sokolovo - Jag. kuća,44.4849886173,20.3313795245,2,0,
27574,7574,Sokolovo ,44.4859333000,20.3369954663,2,0,
27575,7575,Sokolovo ,44.4859631813,20.3368687902,2,0,
27576,7576,Karađorđeva,44.4964870000,20.3042160000,2,0,
27577,7577,Žel. st. Stepojevac,44.4969370000,20.3107150000,2,0,
27578,7578,Staklenik,44.4134959338,20.2718580521,2,0,
27579,7579,Staklenik,44.4133868287,20.2715513503,2,0,
27581,7581,Stepojevac - pijaca,44.5135652787,20.2947768203,2,0,
27582,7582,Stepojevac - pijaca,44.5136607322,20.2947691399,2,0,
27583,7583,Stepojevac - Dubrava,44.5157104098,20.3084715890,2,0,
27584,7584,Stepojevac - Dubrava,44.5158230874,20.3086798687,2,0,
27585,7585,Pantića kraj,44.5799368000,20.2649455000,2,0,
27586,7586,Pantića kraj,44.5798922012,20.2650307877,2,0,
27587,7587,Put za Žel. st. "Stepojevac",44.4967533000,20.2929083000,2,0,
27588,7588,Put za Žel. st. "Stepojevac",44.4968047545,20.2928143002,2,0,
27589,7589,Stolice,44.3700329612,20.3022897466,2,0,
27590,7590,Stolice,44.3700593801,20.3021581981,2,0,
27591,7591,Strmovo - Okretnica,44.4051204190,20.4123498595,2,0,
27592,7592,Strmovo - Okretnica,44.4050900000,20.4121150000,2,0,
27593,7593,Karađorđeva,44.4965340000,20.3043750000,2,0,
27594,7594,Put za Žel. st. Stepojevac,44.4967760000,20.2930090000,2,0,
27595,7595,Strmovo - Spomenik,44.4107521000,20.4068927000,2,0,
27596,7596,Strmovo - Spomenik,44.4106583000,20.4067933000,2,0,
27600,7600,Strmovo prodavnica,44.4081700000,20.4093417000,2,0,
27601,7601,Strmovo prodavnica,44.4082133000,20.4092483000,2,0,
27602,7602,Stubica - Česma,44.3585083000,20.2910217000,2,0,
27603,7603,Stubica - Česma,44.3587750000,20.2906867000,2,0,
27604,7604,Stubica - Okretnica,44.3533261674,20.2946402331,2,0,
27605,7605,Stubica - Okretnica,44.3532717000,20.2945583000,2,0,
27606,7606,Stubica I,44.3668850000,20.2797383000,2,0,
27607,7607,Stubica I,44.3667883000,20.2799050000,2,0,
27608,7608,Stubica S. kuće,44.3623067000,20.2838150000,2,0,
27609,7609,Stubica S. kuće,44.3624295167,20.2837214577,2,0,
27610,7610,Sumeđ - P. kuće,44.4862600000,20.2581317000,2,0,
27611,7611,Sumeđ - Dom ,44.4928450000,20.2578600000,2,0,
27612,7612,Trbušnica - Dom,44.3532771878,20.3729559572,2,0,
27613,7613,Trbušnica - Dom,44.3534132326,20.3728017110,2,0,
27614,7614,Čibutkovica II,44.3121650000,20.2412733000,2,0,
27615,7615,Čibutkovica II,44.3133067000,20.2399050000,2,0,
27616,7616,Dudovica,44.2970649695,20.2640006574,2,0,
27617,7617,Dudovica,44.2967535217,20.2639947055,2,0,
27618,7618,Ceroviti potok,44.3940122866,20.3844091748,2,0,
27619,7619,Ceroviti potok,44.3941483000,20.3843683000,2,0,
27620,7620,Šarena kapija,44.3693137024,20.3243858399,2,0,
27621,7621,Šarena kapija,44.3692503959,20.3239552503,2,0,
27622,7622,Šopić - Dom,44.3917607090,20.2523124196,2,0,
27623,7623,Šopić - Dom,44.3923601276,20.2520925380,2,0,
27624,7624,Šopić - Krivaja,44.4031772219,20.2580818507,2,0,
27625,7625,Šopić - Krivaja,44.4020199963,20.2565871435,2,0,
27626,7626,Arnajevo - Mlekara,44.4936214832,20.3575526620,2,0,
27636,7636,Arnajevo - Selo,44.4963645698,20.3713491601,2,0,
27637,7637,Arnajevo - Selo,44.4967250000,20.3715083000,2,0,
27638,7638,Arnajevo - Ulaz,44.5014387348,20.3759367000,2,0,
27639,7639,Arnajevo - Ulaz,44.5013522652,20.3759881871,2,0,
27640,7640,Arnajevo - Škola,44.4895188583,20.3699780705,2,0,
27641,7641,Arnajevo - Škola,44.4895706119,20.3702662043,2,0,
27643,7643,Arnajevo R,44.5334120642,20.4041530227,2,0,
27644,7644,Arnajevo R,44.5332860240,20.4037812337,2,0,
27645,7645,Auto servis Neša,44.6002667000,20.4679467000,2,0,
27646,7646,Auto servis Neša,44.6003450000,20.4678467000,2,0,
27647,7647,Vrelinska,44.6074826056,20.4131889012,2,0,
27648,7648,Vrelinska,44.6073759044,20.4130924491,2,0,
27649,7649,Barajevo (Prokića kraj),44.5820654527,20.4056809368,2,0,
27650,7650,Barajevo (Prokića kraj),44.5819574871,20.4059761724,2,0,
27651,7651,Barajevo - Centar,44.5780039369,20.4156100056,2,0,
27652,7652,Barajevo - Centar,44.5780030448,20.4151861282,2,0,
27653,7653,Barajevo (Miodraga Vukovića),44.5823067000,20.4224083000,2,0,
27654,7654,Barajevo (Miodraga Vukovića),44.5825067000,20.4226217000,2,0,
27655,7655,Barajevo AS,44.5799297494,20.4130986908,2,0,
27656,7656,Barajevo AS,44.5798928241,20.4134590441,2,0,
27657,7657,Barajevo IKL,44.5934318386,20.4135549976,2,0,
27658,7658,Barajevo IKL,44.5934470246,20.4133643613,2,0,
27659,7659,Baćevac - Dom,44.5853880272,20.3756489978,2,0,
27660,7660,Baćevac - Dom,44.5853556149,20.3753674626,2,0,
27661,7661,Baćevac - Ekonomija,44.5903345726,20.3752995947,2,0,
27662,7662,Baćevac - Ekonomija,44.5901488348,20.3750324435,2,0,
27663,7663,Baćevac - Igralište,44.5979899853,20.3704523664,2,0,
27664,7664,Baćevac - Igralište,44.5978558414,20.3706148109,2,0,
27665,7665,Baćevac - Skojevska,44.5941894238,20.3736644461,2,0,
27666,7666,Baćevac - Skojevska,44.5941214499,20.3736049149,2,0,
27667,7667,Baćevac - Crkva,44.5866173202,20.3862525024,2,0,
27668,7668,Baćevac - Crkva,44.5869130810,20.3862189159,2,0,
27669,7669,Baćevac - Izlaz,44.6070075851,20.3677594356,2,0,
27670,7670,Baćevac - Izlaz,44.6069226091,20.3676668994,2,0,
27671,7671,Baćevac R Ibarska,44.6107110902,20.3604909533,2,0,
27672,7672,Baćevac R Ibarska,44.6105684697,20.3599032244,2,0,
27673,7673,Baćevac  R,44.5849605026,20.3827662518,2,0,
27674,7674,Baćevac R,44.5848765095,20.3827143838,2,0,
27675,7675,Janković kraj,44.5755386402,20.3697672761,2,0,
27678,7678,Belo brdo,44.5129267000,20.3902933000,2,0,
27679,7679,Belo brdo,44.5129141847,20.3904502423,2,0,
27682,7682,Beljina - Karaula,44.5079592564,20.3869996301,2,0,
27683,7683,Beljina - Karaula,44.5079884693,20.3871280411,2,0,
27684,7684,Beljina - Strugara,44.5166811460,20.3992242804,2,0,
27685,7685,Beljina - Strugara,44.5165537023,20.3992570410,2,0,
27686,7686,Baćevac R Ibarska,44.6103169297,20.3609015239,2,0,
27687,7687,Beljina - Centar,44.5201486776,20.3954662209,2,0,
27688,7688,Beljina - Centar,44.5201799420,20.3955784779,2,0,
27689,7689,Baćevac dom,44.5853100000,20.3750120000,2,0,
27690,7690,Beljina I,44.5124964015,20.4049687780,2,0,
27691,7691,Beljina I,44.5125560015,20.4051266958,2,0,
27692,7692,Boždarevac - Voće,44.5704583000,20.4018800000,2,0,
27693,7693,Boždarevac - Voće,44.5705976222,20.4020271777,2,0,
27694,7694,Boždarevac - Dom,44.5558300000,20.3958617000,2,0,
27695,7695,Boždarevac - Dom,44.5557398751,20.3959477063,2,0,
27696,7696,Boždarevac - Izlaz,44.5526770971,20.3858946702,2,0,
27697,7697,Boždarevac - Izlaz,44.5527448141,20.3859578225,2,0,
27698,7698,Boždarevac - Mlin,44.5563700000,20.3869000000,2,0,
27699,7699,Boždarevac - Mlin,44.5562983000,20.3873267000,2,0,
27700,7700,Boždarevac - Prodavnica,44.5596683000,20.3820517000,2,0,
27701,7701,Boždarevac - Prodavnica,44.5596700000,20.3822017000,2,0,
27702,7702,Boždarevac - Trafo,44.5640135981,20.3996863212,2,0,
27703,7703,Boždarevac - Trafo,44.5640562304,20.3997271174,2,0,
27704,7704,Boždarevac - Ulaz,44.5621521532,20.3720450385,2,0,
27705,7705,Boždarevac - Ulaz,44.5621100000,20.3720833000,2,0,
27706,7706,Boždarevac R,44.5676008153,20.3663784386,2,0,
27708,7708,Bučije,44.5673206900,20.3663387971,2,0,
27709,7709,Bučije,44.5673800000,20.3662150000,2,0,
27711,7711,Velike Gunjice,44.5998431724,20.3325882890,2,0,
27712,7712,Velike Gunjice,44.5997692019,20.3327526877,2,0,
27713,7713,Veliki Borak - Vis,44.5635440000,20.3634064000,2,0,
27714,7714,Veliki Borak - Vis,44.5633933000,20.3633067000,2,0,
27715,7715,Veliki Borak - Dom,44.5391017000,20.3501967000,2,0,
27716,7716,Veliki Borak - Dom,44.5390100000,20.3501783000,2,0,
27717,7717,Veliki Borak - Železnička stanica,44.5398619940,20.3780367038,2,0,
27718,7718,Veliki Borak - Železnička stanica,44.5397879432,20.3779653285,2,0,
27719,7719,Veliki Borak - Okretnica,44.5536409388,20.3521534379,2,0,
27720,7720,Veliki Borak - Okretnica,44.5535780900,20.3519071125,2,0,
27721,7721,Veliki Borak 1,44.5584516605,20.3574573856,2,0,
27722,7722,Veliki Borak 1,44.5584183000,20.3574133000,2,0,
27723,7723,Veliki Crljeni - Vaga ,44.4772366968,20.2901601313,2,0,
27724,7724,Veliki Crljeni - Vaga ,44.4770752138,20.2900129540,2,0,
27727,7727,Barzilovica - D. kuće,44.3479079314,20.2960940890,2,0,
27728,7728,Barzilovica - D. kuće,44.3480131109,20.2961066264,2,0,
27729,7729,Ljubivoja Mihailovića,44.5783367438,20.3707414429,2,0,
27730,7730,Dragutina Jovanović - Karla,44.5818040000,20.3752140000,2,0,
27731,7731,Radodvana Patelića Pure,44.5842950000,20.3783280000,2,0,
27732,7732,Vranić R,44.6070179000,20.3553495000,2,0,
27733,7733,Vranić R,44.6069527356,20.3554180147,2,0,
27734,7734,Vranić centar,44.5944597000,20.3095993000,2,0,
27735,7735,Vranić centar,44.5944256255,20.3097881871,2,0,
27736,7736,Staro selo,44.5601720000,20.3759580000,2,0,
27737,7737,Staro selo,44.5600107126,20.3763111857,2,0,
27739,7739,Glumčevo brdo - Dom,44.6152550000,20.4547583000,2,0,
27741,7741,Glumčevo brdo - Škola,44.6141533000,20.4474967000,2,0,
