route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00601,S,00601_A_S_0704,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1126,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2014,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1215,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2108,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1110,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0914,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0918,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1517,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1816,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0723,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1708,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_2200,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1216,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1639,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0610,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1926,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1039,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1217,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1818,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0750,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1202,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_2203,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0752,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1640,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_2131,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0740,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0619,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1204,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1514,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_2156,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_1229,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1641,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0752,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1733,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0842,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1305,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2210,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1233,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1542,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0952,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1550,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1903,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0815,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1801,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0410,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1306,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1729,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0748,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_2141,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1940,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1249,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1851,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
